1,AFG,Afghanistan,93
2,ALA,Aland Islands,340
3,ALB,Albania,355
4,DZA,Algeria,213
5,ASM,American Samoa,-683
6,AND,Andorra,376
7,AGO,Angola,244
8,AIA,Anguilla,-263
9,ATA,Antarctica,0
10,ATG,Antigua And Barbuda,-267
11,ARG,Argentina,54
12,ARM,Armenia,374
13,ABW,Aruba,297
14,AUS,Australia,61
15,AUT,Austria,43
16,AZE,Azerbaijan,994
17,BHS,Bahamas The,-241
18,BHR,Bahrain,973
19,BGD,Bangladesh,880
20,BRB,Barbados,-245
21,BLR,Belarus,375
22,BEL,Belgium,32
23,BLZ,Belize,501
24,BEN,Benin,229
25,BMU,Bermuda,-440
26,BTN,Bhutan,975
27,BOL,Bolivia,591
28,BIH,Bosnia and Herzegovina,387
29,BWA,Botswana,267
30,BVT,Bouvet Island,0
31,BRA,Brazil,55
32,IOT,British Indian Ocean Territory,246
33,BRN,Brunei,673
34,BGR,Bulgaria,359
35,BFA,Burkina Faso,226
36,BDI,Burundi,257
37,KHM,Cambodia,855
38,CMR,Cameroon,237
39,CAN,Canada,1
40,CPV,Cape Verde,238
41,CYM,Cayman Islands,-344
42,CAF,Central African Republic,236
43,TCD,Chad,235
44,CHL,Chile,56
45,CHN,China,86
46,CXR,Christmas Island,61
47,CCK,Cocos (Keeling) Islands,61
48,COL,Colombia,57
49,COM,Comoros,269
50,COG,Congo,242
51,COD,Congo The Democratic Republic Of The,243
52,COK,Cook Islands,682
53,CRI,Costa Rica,506
54,CIV,Cote D'Ivoire (Ivory Coast),225
55,HRV,Croatia (Hrvatska),385
56,CUB,Cuba,53
57,CYP,Cyprus,357
58,CZE,Czech Republic,420
59,DNK,Denmark,45
60,DJI,Djibouti,253
61,DMA,Dominica,-766
62,DOM,Dominican Republic,1829
63,TLS,East Timor,670
64,ECU,Ecuador,593
65,EGY,Egypt,20
66,SLV,El Salvador,503
67,GNQ,Equatorial Guinea,240
68,ERI,Eritrea,291
69,EST,Estonia,372
70,ETH,Ethiopia,251
71,FLK,Falkland Islands,500
72,FRO,Faroe Islands,298
73,FJI,Fiji Islands,679
74,FIN,Finland,358
75,FRA,France,33
76,GUF,French Guiana,594
77,PYF,French Polynesia,689
78,ATF,French Southern Territories,0
79,GAB,Gabon,241
80,GMB,Gambia The,220
81,GEO,Georgia,995
82,DEU,Germany,49
83,GHA,Ghana,233
84,GIB,Gibraltar,350
85,GRC,Greece,30
86,GRL,Greenland,299
87,GRD,Grenada,-472
88,GLP,Guadeloupe,590
89,GUM,Guam,-670
90,GTM,Guatemala,502
91,GGY,Guernsey and Alderney,-1437
92,GIN,Guinea,224
93,GNB,Guinea-Bissau,245
94,GUY,Guyana,592
95,HTI,Haiti,509
96,HMD,Heard and McDonald Islands,0
97,HND,Honduras,504
98,HKG,Hong Kong S.A.R.,852
99,HUN,Hungary,36
100,ISL,Iceland,354
101,IND,India,91
102,IDN,Indonesia,62
103,IRN,Iran,98
104,IRQ,Iraq,964
105,IRL,Ireland,353
106,ISR,Israel,972
107,ITA,Italy,39
108,JAM,Jamaica,-875
109,JPN,Japan,81
110,JEY,Jersey,-1490
111,JOR,Jordan,962
112,KAZ,Kazakhstan,7
113,KEN,Kenya,254
114,KIR,Kiribati,686
115,PRK,Korea North,850
116,KOR,Korea South,82
248,XKX,Kosovo,383
117,KWT,Kuwait,965
118,KGZ,Kyrgyzstan,996
119,LAO,Laos,856
120,LVA,Latvia,371
121,LBN,Lebanon,961
122,LSO,Lesotho,266
123,LBR,Liberia,231
124,LBY,Libya,218
125,LIE,Liechtenstein,423
126,LTU,Lithuania,370
127,LUX,Luxembourg,352
128,MAC,Macau S.A.R.,853
129,MKD,Macedonia,389
130,MDG,Madagascar,261
131,MWI,Malawi,265
132,MYS,Malaysia,60
133,MDV,Maldives,960
134,MLI,Mali,223
135,MLT,Malta,356
136,IMN,Man (Isle of),-1580
